Solenodon paradoxus
Erinaceus europaeus
Crocidura indochinensis
Sorex araneus
Uropsilus gracilis
Condylura cristata
Scalopus aquaticus
Cryptoprocta ferox
Mungos mungo
Suricata suricatta
Helogale parvula
Hyaena hyaena
Paradoxurus hermaphroditus
Panthera tigris
Panthera pardus
Panthera onca
Felis catus
Felis nigripes
Puma concolor
Acinonyx jubatus
Lycaon pictus
Canis lupus familiaris
Vulpes lagopus
Pteronura brasiliensis
Enhydra lutris
Mustela putorius
Mellivora capensis
Ailurus fulgens
Spilogale gracilis
Zalophus californianus
Odobenus rosmarus
Leptonychotes weddellii
Mirounga angustirostris
Neomonachus schauinslandi
Ailuropoda melanoleuca
Ursus maritimus
Manis javanica
Manis pentadactyla
Equus caballus
Equus przewalskii
Equus asinus
Tapirus indicus
Tapirus terrestris
Diceros bicornis
Ceratotherium simum
Ceratotherium simum cottoni
Dicerorhinus sumatrensis
Vicugna pacos
Camelus dromedarius
Camelus ferus
Camelus bactrianus
Eubalaena japonica
Balaenoptera bonaerensis
Balaenoptera acutorostrata
Eschrichtius robustus
Kogia breviceps
Mesoplodon bidens
Ziphius cavirostris
Inia geoffrensis
Lipotes vexillifer
Neophocaena asiaeorientalis
Phocoena phocoena
Delphinapterus leucas
Tursiops truncatus
Orcinus orca
Tragulus javanicus
Moschus moschiferus
Bubalus bubalis
Bos taurus
Bos indicus
Bos mutus
Bison bison
Beatragus hunteri
Ammotragus lervia
Hemitragus hylocrius
Capra hircus
Capra aegagrus
Ovis aries
Ovis canadensis
Pantholops hodgsonii
Saiga tatarica
Okapia johnstoni
Giraffa tippelskirchi
Antilocapra americana
Odocoileus virginianus
Rangifer tarandus
Elaphurus davidianus
Catagonus wagneri
Sus scrofa
Megaderma lyra
Craseonycteris thonglongyai
Hipposideros armiger
Hipposideros galeritus
Rhinolophus sinicus
Macroglossus sobrinus
Eidolon helvum
Pteropus vampyrus
Pteropus alecto
Rousettus aegyptiacus
Noctilio leporinus
Pteronotus parnellii
Mormoops blainvillei
Carollia perspicillata
Artibeus jamaicensis
Anoura caudifer
Tonatia saurophila
Micronycteris hirsuta
Desmodus rotundus
Pipistrellus pipistrellus
Eptesicus fuscus
Lasiurus borealis
Murina feae
Myotis myotis
Myotis brandtii
Myotis lucifugus
Myotis davidii
Miniopterus natalensis
Miniopterus schreibersii
Tadarida brasiliensis
Oryctolagus cuniculus
Lepus americanus
Ochotona princeps
Ctenodactylus gundi
Petromus typicus
Thryonomys swinderianus
Heterocephalus glaber
Fukomys damarensis
Dolichotis patagonum
Hydrochoerus hydrochaeris
Cavia tschudii
Cavia porcellus
Cavia aperea
Dasyprocta punctata
Cuniculus paca
Octodon degus
Ctenomys sociabilis
Myocastor coypus
Capromys pilorides
Chinchilla lanigera
Dinomys branickii
Hystrix cristata
Rattus norvegicus
Mus musculus
Mus spretus
Mus caroli
Mus pahari
Acomys cahirinus
Meriones unguiculatus
Psammomys obesus
Mesocricetus auratus
Cricetulus griseus
Microtus ochrogaster
Ondatra zibethicus
Ellobius talpinus
Ellobius lutescens
Sigmodon hispidus
Peromyscus maniculatus
Onychomys torridus
Cricetomys gambianus
Nannospalax galili
Jaculus jaculus
Allactaga bullata
Zapus hudsonius
Perognathus longimembris
Dipodomys stephensi
Dipodomys ordii
Castor canadensis
Xerus inauris
Spermophilus dauricus
Ictidomys tridecemlineatus
Marmota marmota
Aplodontia rufa
Muscardinus avellanarius
Glis glis
Graphiurus murinus
Nycticebus coucang
Otolemur garnettii
Daubentonia madagascariensis
Propithecus coquereli
Indri indri
Cheirogaleus medius
Microcebus murinus
Mirza coquereli
Lemur catta
Eulemur fulvus
Eulemur flavifrons
Pithecia pithecia
Callicebus donacophilus
Saguinus imperator
Callithrix jacchus
Aotus nancymaae
Saimiri boliviensis
Cebus albifrons
Cebus capucinus
Alouatta palliata
Ateles geoffroyi
Mandrillus leucophaeus
Cercocebus atys
Papio anubis
Macaca mulatta
Macaca fascicularis
Macaca nemestrina
Erythrocebus patas
Chlorocebus sabaeus
Cercopithecus neglectus
Rhinopithecus roxellana
Rhinopithecus bieti
Pygathrix nemaeus
Nasalis larvatus
Semnopithecus entellus
Piliocolobus tephrosceles
Colobus angolensis
Nomascus leucogenys
Gorilla gorilla
Pan troglodytes
Pan paniscus
Homo sapiens
Pongo abelii
Tupaia tana
Tupaia chinensis
